"","MSSE","lower","upper","piWidth"
"100 loci",1673.7,-1037.5,4384.8,5422.3
"250 loci",1668.8,-1042.2,4379.9,5422.1
"500 loci",1667.2,-1043.9,4378.3,5422.1
"750 loci",1663.1,-1047.9,4374.2,5422.1
"1000 loci",1663.6,-1047.5,4374.7,5422.1
