"","MSSE","lower","upper","piWidth"
"100",1829.17881929897,-830.301495200583,4488.65913379852,5318.9606289991
"250",1827.15758445058,-831.399716994664,4485.71488589582,5317.11460289049
"500",1826.39052541081,-831.851825435102,4484.63287625673,5316.48470169183
"750",1825.28462546055,-833.008466918051,4483.57771783916,5316.58618475721
"1000",1825.37294107405,-833.028269079545,4483.77415122765,5316.80242030719
