"","Loci","MSSE","lower","upper","piWidth"
"1",100,3072,2137,4007.1,1870.1
"2",250,3079.8,2172.5,3987,1814.5
"3",500,3072.2,2164.6,3979.9,1815.3
"4",750,3075.6,2172.3,3978.8,1806.5
"5",1000,3079.9,2180.4,3979.3,1798.9
