"","MSSE","lower","upper","piWidth"
"100 loci",3636.6,3101,4172.3,1071.3
"250 loci",3647.3,3155.4,4139.1,983.8
"500 loci",3642.2,3160.3,4124.1,963.8
"750 loci",3644.2,3167.3,4121.1,953.7
"1000 loci",3649.6,3178.6,4120.6,942.1
