"","MSSE","lower","upper","piWidth"
"100 loci",715,439.2,990.8,551.6
"250 loci",719.7,461.9,977.4,515.5
"500 loci",719.2,465,973.3,508.3
"750 loci",716.7,462.9,970.5,507.6
"1000 loci",717.4,464.7,970,505.2
