"","MSSE","lower","upper","piWidth"
"100 loci",967.7,821.8,1113.5,291.7
"250 loci",984,884.7,1083.4,198.6
"500 loci",983.7,906.2,1061.3,155.1
"750 loci",983.4,914.7,1052.1,137.4
"1000 loci",983.9,920.2,1047.7,127.5
