"","MSSE","lower","upper","piWidth"
"100 loci",486.8,-139.4,1113,1252.4
"250 loci",484.7,-140.4,1109.9,1250.3
"500 loci",483.3,-141.4,1108.1,1249.4
"750 loci",482.8,-142.3,1107.9,1250.2
"1000 loci",483.1,-141.4,1107.7,1249.1
