"","MSSE","lower","upper","piWidth"
"100 loci",335.6,-339.1,1010.4,1349.5
"250 loci",318.1,-356.7,992.9,1349.6
"500 loci",326.3,-348.3,1001,1349.3
"750 loci",325.9,-348.9,1000.7,1349.6
"1000 loci",324.3,-350.4,999.1,1349.5
