"","fit","lower","upper","piWidth"
"5",1673.69141444814,-1037.46019499629,4384.84302389257,5422.30321888886
"10",1668.83129329245,-1042.22621728379,4379.8888038687,5422.11502115249
"15",1667.21835318798,-1043.85550135044,4378.29220772639,5422.14770907683
"20",1663.12816558748,-1047.92307769618,4374.17940887114,5422.10248656732
"25",1663.6082831293,-1047.46449765045,4374.68106390905,5422.14556155949
