"","MSSE","lower","upper","piWidth"
"5 loci",485.7,-157.3,1128.6,1285.8
"10 loci",480.4,-157,1117.8,1274.9
"15 loci",477.9,-159.2,1115,1274.1
"20 loci",477,-157.8,1111.7,1269.5
"25 loci",477.7,-157.6,1112.9,1270.5
