"","MSSE","lower","upper","piWidth"
"5 loci",460,-213.9,1134,1348
"10 loci",454.3,-219.3,1127.9,1347.2
"15 loci",448.2,-225.1,1121.5,1346.5
"20 loci",449.1,-224.2,1122.5,1346.7
"25 loci",449.9,-223.4,1123.1,1346.5
