"","MSSE","lower","upper","piWidth"
"5",717.37696454657,251.650210523888,1183.10371856925,931.453508045363
"10",769.260420467658,364.93533839315,1173.58550254217,808.650164149015
"15",800.595441430429,462.949397897772,1138.24148496309,675.292087065314
"20",807.109090574546,499.03735214187,1115.18082900722,616.143476865354
"25",817.345885640995,526.531508512736,1108.16026276925,581.628754256519
