"","MSSE","lower","upper","piWidth"
"5",1841.24165270264,-833.286248015454,4515.76955342073,5349.05580143619
"10",1820.64415242531,-852.84171329233,4494.13001814296,5346.97173143529
"15",1811.95538986933,-858.674939403738,4482.58571914241,5341.26065854614
"20",1807.92467374009,-863.015681955207,4478.86502943539,5341.88071139059
"25",1808.16473595685,-863.060499694708,4479.38997160841,5342.45047130312
