"","MSSE","lower","upper","piWidth"
"5",2590.13059231672,575.40978309349,4604.85140153994,4029.44161844645
"10",2773.15464894005,1084.7957406639,4461.5135572162,3376.7178165523
"15",2695.02376470232,1035.57681207975,4354.47071732488,3318.89390524513
"20",2784.72516461596,1251.57060308328,4317.87972614864,3066.30912306536
"25",2798.29451820808,1293.22502658457,4303.36400983158,3010.13898324701
