"","MSSE","lower","upper","piWidth"
"100",486.78722654166,-139.405825986457,1112.98027906978,1252.38610505623
"250",484.722831521516,-140.43464934665,1109.88031238968,1250.31496173633
"500",483.343087116011,-141.380477229224,1108.06665146125,1249.44712869047
"750",482.830655340937,-142.251996905234,1107.91330758711,1250.16530449234
"1000",483.137070749079,-141.407211788775,1107.68135328693,1249.08856507571
