"","MSSE","lower","upper","piWidth"
"100",967.680792288429,821.844206440141,1113.51737813672,291.673171696578
"250",984.04487889379,884.723881413875,1083.36587637371,198.64199495983
"500",983.728585756883,906.185100932023,1061.27207058174,155.086969649722
"750",983.427466334327,914.716384695595,1052.13854797306,137.422163277463
"1000",983.926963124002,920.187810451965,1047.66611579604,127.478305344075
