"","Loci","MSSE","lower","upper","piWidth"
"1",100,715,439.2,990.8,551.6
"2",250,719.7,461.9,977.4,515.5
"3",500,719.2,465,973.3,508.3
"4",750,716.7,462.9,970.5,507.6
"5",1000,717.4,464.7,970,505.2
