"","MSSE","lower","upper","piWidth"
"5 loci",2590.1,575.4,4604.9,4029.4
"10 loci",2773.2,1084.8,4461.5,3376.7
"15 loci",2695,1035.6,4354.5,3318.9
"20 loci",2784.7,1251.6,4317.9,3066.3
"25 loci",2798.3,1293.2,4303.4,3010.1
