"","Loci","MSSE","lower","upper","piWidth"
"1",5,1520.8,-715.5,3757.1,4472.6
"2",10,1495.9,-603.7,3595.6,4199.3
"3",15,1414.7,-730.5,3559.9,4290.4
"4",20,1405.1,-684.1,3494.2,4178.3
"5",25,1391,-696.7,3478.7,4175.4
