"","fit","lower","upper","piWidth"
"5",1859.55498124442,-849.847502840456,4568.9574653293,5418.80496816975
"10",1837.23640743747,-872.19074556175,4546.66356043669,5418.85430599844
"15",1838.5216552802,-870.879429646865,4547.92274020727,5418.80216985414
"20",1828.35237110846,-880.966051792959,4537.67079400988,5418.63684580284
"25",1832.86159089601,-876.445433758835,4542.16861555085,5418.61404930969
