"","MSSE","lower","upper","piWidth"
"5 loci",1841.2,-833.3,4515.8,5349.1
"10 loci",1820.6,-852.8,4494.1,5347
"15 loci",1812,-858.7,4482.6,5341.3
"20 loci",1807.9,-863,4478.9,5341.9
"25 loci",1808.2,-863.1,4479.4,5342.5
